FIELD_ID,FIELD_NAME,ALTERNATE_NAME,LONG_DESCRIPTION,FIELD_LENGTH,FIELD_TYPE,MASK,USER_SYSTEM_ATTRIBUTES,FIELD_VALUES,DATA_TYPE,LEVEL,FIELD_VALUES_ID
3415,Address ID,recd_a_id,"Unique identifier assigned to each address. Address ID is specifc to the address regardless if the address is occupied, occupants move, or unoccupied.",10,AN,9999999999,,,Derived,Address,
3413,Living Unit ID - Fusion 92,recd_luid,Unique identifier assigned to one or more persons living at an address as a group or family unit. The Living Unit ID will remain consistent for those persons in the group or family as long as they remain together as a unit.  This includes changes of addresses.,10,char,,,,Derived,LUID,
10361,Primary Address,addr1,address line 1,30,char,,,,Known/Observed,Address,
10157,Secondary Address,addr2,address line 2,30,char,,,,Known/Observed,Address,
11247,House Number,prmy_numb,Primary (house) number,10,char,,,,Known/Declared,Address,
11249,Pre Direction,strt_pred,Street pre-directional,2,char,,,"blank=Blank,E=East,N=North,NE=Northeast,NW=Northwest,S=South,SE=Southeast,SW=Southwest,W=West,",Known/Declared,Address,6d9fd963-8b60-4992-94c2-171a6d2b28cd
11023,Street Name,strt_name,Street name,28,char,,,,Known/Observed,Address,
10633,Street Suffix,strt_sufx,Street suffix,4,char,,,"ALY=Alley,ANX=Annex,ARC=Arcade,AVE=Avenue,BCH=Beach,BG=Burg,blank=Blank,BLF=Bluff,BLFS=Bluffs,BLVD=Boulevard,BND=Bend,BR=Branch,BRG=Bridge,BRK=Brook,BRKS=Brooks,BTM=Bottom,BYP=Bypass,BYU=Bayoo,CIR=Circle,CIRS=Circles,CLB=Club,CLF=Cliff,CLFS=Cliffs,CMN=Common,CMNS=Commons,COR=Corner,CORS=Corners,CP=Camp,CPE=Cape,CRES=Crescent,CRK=Creek,CRSE=Course,CRST=Crest,CSWY=Causeway,CT=Court,CTR=Center,CTRS=Centers,CTS=Courts,CURV=Curve,CV=Cove,CVS=Coves,CYN=Canyon,DL=Dale,DM=Dam,DR=Drive,DRS=Drives,DV=Divide,EST=Estate,ESTS=Estates,EXPY=Expressway,EXT=Extension,EXTS=Extensions,FALL=Fall,FLD=Field,FLDS=Fields,FLS=Falls,FLT=Flat,FLTS=Flats,FRD=Ford,FRG=Forge,FRK=Fork,FRKS=Forks,FRST=Forest,FRY=Ferry,FT=Fort,FWY=Freeway,GDN=Garden,GDNS=Gardens,GLN=Glen,GLNS=Glens,GRN=Green,GRNS=Greens,GRV=Grove,GRVS=Groves,GTWY=Gateway,HBR=Harbor,HBRS=Harbors,HL=Hill,HLS=Hills,HOLW=Hollow,HTS=Heights,HVN=Haven,HWY=Highway,INLT=Inlet,IS=Island,ISLE=Isle,ISS=Islands,JCT=Junction,KNL=Knoll,KNLS=Knolls,KY=Key,KYS=Keys,LAND=Land,LCK=Lock,LCKS=Locks,LDG=Lodge,LF=Loaf,LGT=Light,LGTS=Lights,LK=Lake,LKS=Lakes,LN=Lane,LNDG=Landing,LOOP=Loop,MALL=Mall,MDW=Meadow,MDWS=Meadows,MEWS=Mews,ML=Mill,MLS=Mills,MNR=Manor,MNRS=Manors,MNT=Mount,MSN=Mission,MT=Mounts,MTN=Mountain,MTNS=Mountains,MTWY=Motorway,NCK=Neck,OPAS=Overpass,ORCH=Orchard,OVAL=Oval,PARK=Park,PASS=Pass,PATH=Path,PIKE=Pike,PKWY=Parkway,PL=Place,PLN=Plain,PLNS=Plains,PLZ=Plaza,PNE=Pine,PNES=Pines,PR=Prairie,PRT=Port,PRTS=Ports,PSGE=Passage,PT=Point,PTS=Points,RADL=Radial,RAMP=Ramp,RD=Road,RDG=Ridge,RDGS=Ridges,RDS=Roads,RIV=River,RNCH=Ranch,ROW=Row,RPD=Rapid,RPDS=Rapids,RST=Rest,RTE=Route,RUE=Rue,RUN=Run,SHL=Shoal,SHLS=Shoals,SHR=Shore,SHRS=Shores,SKWY=Skyway,SMT=Summit,SPG=Spring,SPGS=Springs,SPUR=Spur,SQ=Square,SQS=Squares,ST=Street,STA=Station,STRA=Stravenue,STRM=Stream,STS=Streets,TER=Terrace,TPKE=Turnpike,TRAK=Track,TRCE=Trace,TRFY=Trafficway,TRL=Trail,TRLR=Trailer,TRWY=Throughway,TUNL=Tunnel,UN=Union,UPAS=Underpass,VIA=Viaduct,VIS=Vista,VL=Ville,VLG=Village,VLGS=Villages,VLY=Valley,VW=View,VWS=Views,WALK=Walk,WALL=Wall,WAY=Way,WAYS=Ways,WL=Well,WLS=Wells,XING=Crossing,XRD=Crossroad,XRDS=Crossroads,",Known/Observed,Address,c381fb4e-6ae9-41a2-9a08-3963d3cba161
11359,Post Direction,strt_post,Street post-directional,2,char,,,"blank=Unknown,E=East,N=North,NE=Northeast,NW=Northwest,S=South,SE=Southeast,SW=Southwest,W=West,",Known/Observed,Address,c6289e58-26bf-4193-be3c-c067a86899d1
10112,Unit Designator,scdy_desg,Secondary designator,6,char,,,"APT=Apartment,BACK=Back,blank=Blank,BLDG=Building,BOX=Box,BSMT=Basement,DEPT=Department,FL=Floor,FRNT=Front,HNGR=Hangar,LBBY=Lobby,LOT=Lot,LOWR=Lower,LVL=Level,MSC=Mail Service Center,PH=Penthouse,PIER=Pier,PO BOX=PO Box,REAR=Rear,SIDE=Side,SLIP=Slip,SPC=Space,STE=Suite,TRLR=Trailer,UNIT=Unit,UPPR=Upper,",Known/Observed,Address,6c1663d8-e5e4-4f7c-8b94-c9361f6e60c5
10887,Unit Designator Number,scdy_numb,Secondary number (e.g. apt #),8,char,,,,Known/Observed,Address,
10370,City Name,city_plac,Full city name,28,char,,,,Known/Observed,ZIP9,
10161,City Name - Abbreviated,city_cnab,Standardized USPS 13 character city name,13,char,,,,Known/Observed,ZIP9,
